本卦(貞卦)-狀況,象,八宮卦象(世應爻),序卦傳-卦爻評價,"*交卦-完全對立面且有相似之處
上下卦對調","錯卦(對卦.旁通卦)-另一個立場or過去變化歷程
陰陽相反/鏡射","綜卦(覆卦.反對卦)-對方角度or解決之道
旋轉180度/顛倒","互卦(交互卦.互體卦.卦中卦)-發展過程
1234","互卦(交互卦.互體卦.卦中卦)-發展過程
2345","互卦(交互卦.互體卦.卦中卦)-發展過程
3456","互卦(交互卦.互體卦.卦中卦)-發展過程
12345","互卦(交互卦.互體卦.卦中卦)-發展過程
23456","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
一單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
二單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
三單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
四單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
五單爻變","之卦(變卦.悔卦)-結果(比本卦晚一個時態)
六單爻變",備註
蠱䷑18(26),山風,巽宮木歸魂,多事腐敗(坤-甲)-撥亂反正-初爻:後繼有成/上爻:跳脫政治惡鬥/三爻:切勿感情用事/四爻:貪腐必敗/五爻:用賢為政/二爻:積習難除,漸䷴53(12),隨䷐17(39),隨䷐17(39),大過䷛28(31),歸妹䷵54(53),頤䷚27(34),恆䷟32(29),損䷨41(50),大畜䷙26(58),艮䷳52(10),蒙䷃4(18),鼎䷱50(30),巽䷸57(28),升䷭46(25),"改革卦.缺""貞"""
臨䷒19(49),地澤,坤宮土二世,變大將至(坤-由)-君臨天下-初爻:全民參與/二爻:突破天命/三爻:政治小丑/四爻:無微不至/五爻:盡人之志/上爻:仁者境界,萃䷬45(7),遯䷠33(16),觀䷓20(4),歸妹䷵54(53),復䷗24(33),坤䷁2(1),臨䷒19(49),復䷗24(33),師䷆7(17),復䷗24(33),泰䷊11(57),歸妹䷵54(53),節䷻60(51),損䷨41(50),十二辟卦(十二消息卦).12月(丑月:小寒-大寒-立春)丑時(1點~3點)/牛/土.(但書版元亨利貞).佛教西方三聖卦
觀䷓20(4),風地,乾宮金四世,觀看可觀-觀民設教-初爻:小人之道/二爻:一孔之見/三爻:突破瓶頸/四爻:周遊列國/五爻:眾生皆我/上爻:執迷狂熱,升䷭46(25),大壯䷡34(61),臨䷒19(49),坤䷁2(1),剝䷖23(2),漸䷴53(12),剝䷖23(2),觀䷓20(4),益䷩42(36),渙䷺59(20),漸䷴53(12),否䷋12(8),剝䷖23(2),比䷇8(3),十二辟卦(十二消息卦).8月(酉月:白露-秋分-寒露)酉時(17點~19點)/雞/金.佛教西方三聖卦
噬嗑䷔21(38),火雷,巽宮木五世,咬合契合-割喉競爭-初爻:喪失行動自由/上爻:業障深重/二爻:費力不討好/三爻:出乎意料/四爻:不擇手段/五爻:幕後老闆,豐䷶55(45),井䷯48(27),賁䷕22(42),頤䷚27(34),蹇䷦39(11),未濟䷿64(22),屯䷂3(35),旅䷷56(14),晉䷢35(6),睽䷥38(54),離䷝30(46),頤䷚27(34),无妄䷘25(40),震䷲51(37),"音為""是合"".立法權象徵"
賁䷕22(42),山火,艮宮土一世,裝飾修飾-人文化成-上爻:自然及為美/初爻:基層歷練/二爻:等待的智慧/三爻:在世不染/四爻:謹守分寸/五爻:回歸自然,旅䷷56(14),困䷮47(23),噬嗑䷔21(38),既濟䷾63(43),解䷧40(21),頤䷚27(34),豐䷶55(45),蒙䷃4(18),艮䷳52(10),大畜䷙26(58),頤䷚27(34),離䷝30(46),家人䷤37(44),明夷䷣36(41),"音為""必"""
剝䷖23(2),山地,乾宮金五世,剝落剝爛-浩劫餘生-初爻:勿輕基層/二爻:失守淪陷/三爻:償還人情/四爻:迫在眉睫/五爻:笑臉迎人/上爻:生死判官,謙䷎15(9),夬䷪43(63),復䷗24(33),坤䷁2(1),坤䷁2(1),剝䷖23(2),坤䷁2(1),剝䷖23(2),頤䷚27(34),蒙䷃4(18),艮䷳52(10),晉䷢35(6),觀䷓20(4),坤䷁2(1),十二辟卦(十二消息卦).9月(戌月:寒露-霜降-立冬)戌時(19點~21點)/狗/土
復䷗24(33),地雷,坤宮土一世,歸根恢復-一元復始-初爻:天地之心往內求/二爻:及時休養/三爻:一念之間/四爻:依中道而行/五爻:大德敦化/上爻:天災人禍並至,豫䷏16(5),姤䷫44(32),剝䷖23(2),復䷗24(33),坤䷁2(1),坤䷁2(1),復䷗24(33),坤䷁2(1),坤䷁2(1),臨䷒19(49),明夷䷣36(41),震䷲51(37),屯䷂3(35),頤䷚27(34),十二辟卦(十二消息卦).11月(子月:大雪-冬至-小寒)子時(23點~1點)/鼠/水.憂患九卦
无妄䷘25(40),天雷,巽宮木四世,不死不虛偽-時育萬物-初爻:純淨出發心/上爻:行屍走肉/二爻:切勿投機取巧/三爻:無妄之災/四爻:亡羊補牢/五爻:心病還需心藥醫,大壯䷡34(61),升䷭46(25),大畜䷙26(58),頤䷚27(34),漸䷴53(12),姤䷫44(32),益䷩42(36),遯䷠33(16),否䷋12(8),履䷉10(56),同人䷌13(48),益䷩42(36),噬嗑䷔21(38),隨䷐17(39),(反噬版元亨利貞)
大畜䷙26(58),山天,艮宮土二世,畜養豐收-日新其德-初爻:心平氣和/二爻:不合時宜/三爻:日新其德/四爻:初為人師/五爻:閹割慾望/上爻:畜極則通,遯䷠33(16),萃䷬45(7),无妄䷘25(40),夬䷪43(63),歸妹䷵54(53),頤䷚27(34),大壯䷡34(61),損䷨41(50),蠱䷑18(26),賁䷕22(42),損䷨41(50),大有䷍14(62),小畜䷈9(60),泰䷊11(57),
頤䷚27(34),山雷,巽宮木遊魂,頤養吞噬(坤-由)-養生有主-初爻:切勿受制於人/上爻:順應自然/四爻:靠山的支持/五爻:安如泰山/二爻:需索無度/三爻:自誤誤人,小過䷽62(13),大過䷛28(31),頤䷚27(34),復䷗24(33),坤䷁2(1),剝䷖23(2),復䷗24(33),剝䷖23(2),剝䷖23(2),損䷨41(50),賁䷕22(42),噬嗑䷔21(38),益䷩42(36),復䷗24(33),
大過䷛28(31),澤風,震宮木遊魂,翻轉顛覆-非常男女-三爻:超負荷/四爻:平衡之道/二爻:移花接木/五爻:迴光返照/上爻:滅頂之災,中孚䷼61(52),頤䷚27(34),大過䷛28(31),姤䷫44(32),乾䷀1(64),夬䷪43(63),姤䷫44(32),夬䷪43(63),夬䷪43(63),咸䷞31(15),困䷮47(23),井䷯48(27),恆䷟32(29),姤䷫44(32),
習坎䷜29(19),水,坎宮水本宮,陷入險象環生-水深火熱-初爻:有所節制/二爻:風險預防/三爻:喘息之機/上爻:無間地獄/四爻:引進光明/五爻:寬宏大量,習坎䷜29(19),離䷝30(46),習坎䷜29(19),解䷧40(21),頤䷚27(34),蹇䷦39(11),蒙䷃4(18),屯䷂3(35),節䷻60(51),比䷇8(3),井䷯48(27),困䷮47(23),師䷆7(17),渙䷺59(20),後天(北/四正卦(冬/死-三節氣:壬子癸)).先天(西).卦象(水/陷/中男/豕/耳/腎).戊.難卦
離䷝30(46),火,離宮火本宮,附麗依附-薪盡火傳-初爻:走好第一步/二爻:成就輝煌/三爻:安於平淡/四爻:毀滅性的浩劫/五爻:同體大悲/上爻:擒賊擒王,離䷝30(46),習坎䷜29(19),離䷝30(46),家人䷤37(44),大過䷛28(31),睽䷥38(54),革䷰49(47),鼎䷱50(30),旅䷷56(14),大有䷍14(62),噬嗑䷔21(38),賁䷕22(42),同人䷌13(48),豐䷶55(45),後天(南/四正卦(夏/旺-三節氣:丙午丁)).先天(東).卦象(火/麗/中女/雉/目/心).己
咸䷞31(15),澤山,兌宮金三世,交感連結-感而遂通-初爻:先知先覺/四爻:切勿意亂情迷/二爻:順勢用柔/五爻:喜怒不形於色/三爻:寢食難安/上爻:舌燦蓮花,損䷨41(50),損䷨41(50),恆䷟32(29),漸䷴53(12),姤䷫44(32),夬䷪43(63),遯䷠33(16),大過䷛28(31),革䷰49(47),大過䷛28(31),萃䷬45(7),蹇䷦39(11),小過䷽62(13),遯䷠33(16),肉身卦
恆䷟32(29),雷風,震宮木三世,永恆長久-天長地久-初爻:不當的深入/四爻:求不得苦/三爻:無處容身/上爻:動搖國本/二爻:擅捕過/五爻:久經考驗,益䷩42(36),益䷩42(36),咸䷞31(15),姤䷫44(32),夬䷪43(63),歸妹䷵54(53),大過䷛28(31),大壯䷡34(61),大壯䷡34(61),小過䷽62(13),解䷧40(21),升䷭46(25),大過䷛28(31),鼎䷱50(30),憂患九卦
遯䷠33(16),天山,乾宮金二世,隱遁離開-進退有度-上爻:全身而退/初爻:靜觀其變/二爻:名韁利鎖/三爻:隱忍脫困/四爻:即時切割//五爻:圓滿之道,大畜䷙26(58),臨䷒19(49),大壯䷡34(61),漸䷴53(12),姤䷫44(32),乾䷀1(64),遯䷠33(16),姤䷫44(32),同人䷌13(48),姤䷫44(32),否䷋12(8),漸䷴53(12),旅䷷56(14),咸䷞31(15),"十二辟卦(十二消息卦).6月(未月:小暑-大暑-立秋)未時(13點~15點)/羊/土.音為""頓"""
大壯䷡34(61),雷天,坤宮土四世,陽氣壯盛-莽撞青春-二爻:持中之道/初爻:青春期的衝動/三爻:有時利而不稱霸/四爻:閃電攻勢/五爻:青春無悔/上爻:進退兩難,无妄䷘25(40),觀䷓20(4),遯䷠33(16),乾䷀1(64),夬䷪43(63),歸妹䷵54(53),夬䷪43(63),大壯䷡34(61),恆䷟32(29),豐䷶55(45),歸妹䷵54(53),泰䷊11(57),夬䷪43(63),大有䷍14(62),十二辟卦(十二消息卦).2月(卯月:驚蟄-春分-清明)卯時(5點~7點)/兔/木
晉䷢35(6),火地,乾宮金遊魂,進陞前進-自昭明德-初爻:信道必篤/二爻:軟硬不吃廣結善緣/三爻:民意的力量/四爻:老鼠集團/五爻:無得失心/上爻:整頓內部,明夷䷣36(41),需䷄5(59),明夷䷣36(41),剝䷖23(2),蹇䷦39(11),未濟䷿64(22),比䷇8(3),旅䷷56(14),噬嗑䷔21(38),未濟䷿64(22),旅䷷56(14),剝䷖23(2),否䷋12(8),豫䷏16(5),
明夷䷣36(41),地火,坎宮水遊魂,受傷黑暗-黑暗之心-上爻:政治獨夫/初爻:民間苦楚/五爻:星星之火/三爻:救民於水火/二爻:強強結合/四爻:打入核心出入自如,晉䷢35(6),訟䷅6(24),晉䷢35(6),既濟䷾63(43),解䷧40(21),復䷗24(33),豐䷶55(45),師䷆7(17),謙䷎15(9),泰䷊11(57),復䷗24(33),豐䷶55(45),既濟䷾63(43),賁䷕22(42),難卦(最痛苦)
家人䷤37(44),風火,巽宮木二世,齊家-齊家治國-初爻:門禁森嚴/二爻:偉大的後盾/四爻:理財高手/五爻:不計得失/三爻:家法如山/上爻:恩威並施,鼎䷱50(30),解䷧40(21),睽䷥38(54),既濟䷾63(43),未濟䷿64(22),家人䷤37(44),離䷝30(46),渙䷺59(20),漸䷴53(12),小畜䷈9(60),益䷩42(36),同人䷌13(48),賁䷕22(42),既濟䷾63(43),人情輪迴(小周天)
睽䷥38(54),火澤,艮宮土四世,乖離違背-悲歡離合-初爻:克制冷靜/四爻:冰釋前嫌/二爻:避人耳目/五爻:把握時機/三爻:感情用事/上爻:光怪陸離,革䷰49(47),蹇䷦39(11),家人䷤37(44),睽䷥38(54),既濟䷾63(43),未濟䷿64(22),節䷻60(51),離䷝30(46),未濟䷿64(22),噬嗑䷔21(38),大有䷍14(62),損䷨41(50),履䷉10(56),歸妹䷵54(53),"人情輪迴(小周天).音為""魁"""
蹇䷦39(11),水山,兌宮金四世,困難災難-風雨同舟-初爻:靜待整合/三爻:內部團結/五爻:支撐大局/四爻:感情攻勢/二爻:盡忠職守/上爻:老而彌辣,蒙䷃4(18),睽䷥38(54),解䷧40(21),蹇䷦39(11),未濟䷿64(22),既濟䷾63(43),旅䷷56(14),習坎䷜29(19),既濟䷾63(43),井䷯48(27),比䷇8(3),咸䷞31(15),謙䷎15(9),漸䷴53(12),"人情輪迴(小周天).音為""檢"".難卦"
解䷧40(21),雷水,震宮木二世,斷開緩解-恩仇俱泯-初爻:勇於承擔穩住陣腳/二爻:深入虎穴/三爻:眾矢之的/四爻:棄舊從新/五爻:包容大度/上爻:剷除全民公敵,屯䷂3(35),家人䷤37(44),蹇䷦39(11),未濟䷿64(22),既濟䷾63(43),解䷧40(21),習坎䷜29(19),豐䷶55(45),歸妹䷵54(53),豫䷏16(5),恆䷟32(29),師䷆7(17),困䷮47(23),未濟䷿64(22),人情輪迴(小周天)
損䷨41(50),山澤,艮宮土三世,損失減損-懲忿窒慾-初爻:量力而為/四爻:久旱逢甘霖/二爻:密不透風/五爻:自然獲益/三爻:小捨大德/上爻:功成名就,咸䷞31(15),咸䷞31(15),益䷩42(36),歸妹䷵54(53),復䷗24(33),剝䷖23(2),臨䷒19(49),頤䷚27(34),蒙䷃4(18),頤䷚27(34),大畜䷙26(58),睽䷥38(54),中孚䷼61(52),臨䷒19(49),憂患九卦
益䷩42(36),風雷,巽宮木三世,增益利益-利益眾生-初爻:全民積極投入/二爻:富而好禮/三爻:濟難救困/四爻:政制改革/五爻:利益眾生/上爻:無所逃於天地間,恆䷟32(29),恆䷟32(29),損䷨41(50),復䷗24(33),剝䷖23(2),漸䷴53(12),頤䷚27(34),觀䷓20(4),觀䷓20(4),中孚䷼61(52),家人䷤37(44),无妄䷘25(40),頤䷚27(34),屯䷂3(35),憂患九卦
夬䷪43(63),澤天,坤宮土五世,潰決決裂-戒急用忍-初爻:衝動是魔鬼/二爻:周密防備/上爻:徒呼奈何/三爻:無名英雄/四爻:政治犧牲品/五爻:當斷即斷,履䷉10(56),剝䷖23(2),姤䷫44(32),乾䷀1(64),乾䷀1(64),夬䷪43(63),乾䷀1(64),夬䷪43(63),大過䷛28(31),革䷰49(47),兌䷹58(55),需䷄5(59),大壯䷡34(61),乾䷀1(64),"十二辟卦(十二消息卦).3月(辰月:清明-穀雨-立夏)辰時(7點~9點)/龍/土.音為""怪"""
姤䷫44(32),天風,乾宮金一世,相遇邂逅-危機防制-初爻:懸崖勒馬/二爻:肥水不落外人田/四爻:遠離民意/三爻:夾心餅乾/上爻:絕無機會/五爻:層層保護,小畜䷈9(60),復䷗24(33),夬䷪43(63),姤䷫44(32),乾䷀1(64),乾䷀1(64),姤䷫44(32),乾䷀1(64),乾䷀1(64),遯䷠33(16),訟䷅6(24),巽䷸57(28),鼎䷱50(30),大過䷛28(31),"十二辟卦(十二消息卦).5月(午月:芒種-夏至-小暑)午時(11點~13點)/馬/火.音為""構"""
萃䷬45(7),澤地,兌宮金二世,匯聚聚集-出類拔萃-五爻:提高威望/四爻:平衡全局/三爻:義無反顧/初爻:活在過去/二爻:蓄勢待發,臨䷒19(49),大畜䷙26(58),升䷭46(25),剝䷖23(2),漸䷴53(12),大過䷛28(31),觀䷓20(4),咸䷞31(15),隨䷐17(39),困䷮47(23),咸䷞31(15),比䷇8(3),豫䷏16(5),否䷋12(8),
升䷭46(25),地風,震宮木四世,上升-高度成長-初爻:眾信眾力/二爻:穿針引線/三爻:飛蛾撲火/四爻:韜光養晦/五爻:登峰造極/上爻:自強不息,觀䷓20(4),无妄䷘25(40),萃䷬45(7),大過䷛28(31),歸妹䷵54(53),復䷗24(33),恆䷟32(29),臨䷒19(49),泰䷊11(57),謙䷎15(9),師䷆7(17),恆䷟32(29),井䷯48(27),蠱䷑18(26),
困䷮47(23),澤水,兌宮金一世,窮困圍困-致命遂志-初爻:潰世而獨立/三爻:身敗名裂/上爻:改弦更張/二爻:錘鍊意志/五爻:中直之道/四爻:掣肘之弊,節䷻60(51),賁䷕22(42),井䷯48(27),未濟䷿64(22),家人䷤37(44),大過䷛28(31),渙䷺59(20),革䷰49(47),兌䷹58(55),萃䷬45(7),大過䷛28(31),習坎䷜29(19),解䷧40(21),訟䷅6(24),難卦.憂患九卦
井䷯48(27),水風,震宮木五世,退居更生-研發轉型-初爻:用進廢退/二爻:艱難的突破/三爻:叫好又叫座/四爻:完美的修整/五爻:品牌效應/上爻:維持品牌忠誠度,渙䷺59(20),噬嗑䷔21(38),困䷮47(23),大過䷛28(31),睽䷥38(54),既濟䷾63(43),鼎䷱50(30),節䷻60(51),需䷄5(59),蹇䷦39(11),習坎䷜29(19),大過䷛28(31),升䷭46(25),巽䷸57(28),憂患九卦
革䷰49(47),澤火,坎宮水四世,變革革命-變革創新-初爻:不可輕舉妄動/二爻:該出手時就出手/三爻:多方聽取意見/四爻:順理成章/五爻:君向造命/上爻:鞏固革命成果,睽䷥38(54),蒙䷃4(18),鼎䷱50(30),家人䷤37(44),姤䷫44(32),夬䷪43(63),同人䷌13(48),大過䷛28(31),咸䷞31(15),夬䷪43(63),隨䷐17(39),既濟䷾63(43),豐䷶55(45),同人䷌13(48),改革卦.下經唯一的元亨利貞卦
鼎䷱50(30),火風,離宮火二世,鼎新-調和鼎鼐-初爻:除舊布新/四爻:覆水難收/二爻:懷才不遇無怨無尤/三爻:調整火侯/五爻:親賢臣遠小人/上爻:文化建設,家人䷤37(44),屯䷂3(35),革䷰49(47),姤䷫44(32),夬䷪43(63),睽䷥38(54),大過䷛28(31),大有䷍14(62),大有䷍14(62),旅䷷56(14),未濟䷿64(22),蠱䷑18(26),姤䷫44(32),恆䷟32(29),
震䷲51(37),雷,震宮木本宮,震動-恐懼修省-初爻:臨危不亂/四爻:蓮花之道/三爻:擦亮眼睛向前行/上爻:反躬自省/二爻:狡兔三窟/五爻:主權至上,震䷲51(37),巽䷸57(28),艮䷳52(10),頤䷚27(34),蹇䷦39(11),解䷧40(21),屯䷂3(35),小過䷽62(13),豫䷏16(5),歸妹䷵54(53),豐䷶55(45),復䷗24(33),隨䷐17(39),噬嗑䷔21(38),後天(東/四正卦(春/生-三節氣:甲卯乙)).先天(東北).卦象(木/動/長男/龍/足/肝).庚
